_id,alignment,quality,consistency,overall,id,turn
677d856e8640497613a5ea67,10.0,10.0,10.0,10.0,184184,2
677d856e8640497613a5ea68,7.667,9.667,10.0,7.667,403265,1
677d856e8640497613a5ea69,10.0,7.0,6.0,6.667,403265,2
677d856e8640497613a5ea6a,1.0,3.667,5.333,1.333,403265,3
677d856e8640497613a5ea6b,10.0,9.0,9.667,9.333,393243,1
677d856e8640497613a5ea6c,10.0,9.333,9.667,9.667,86582,1
677d856e8640497613a5ea6d,10.0,10.0,10.0,10.0,86582,2
677d856e8640497613a5ea6f,10.0,9.667,9.667,9.667,15653,1
677d856e8640497613a5ea70,9.667,9.667,10.0,9.667,550349,1
677d856e8640497613a5ea71,9.333,6.667,8.667,7.0,550349,2
677d856e8640497613a5ea72,1.0,3.0,6.0,1.333,573453,1
677d856e8640497613a5ea73,0.667,1.667,4.333,1.0,335479,1
677d856e8640497613a5ea74,10.0,5.333,7.667,6.667,553827,1
677d856e8640497613a5ea76,7.0,4.667,4.333,5.0,416315,2
677d856e8640497613a5ea77,9.667,9.667,10.0,9.667,332877,1
677d856e8640497613a5ea79,2.667,3.333,3.333,3.0,54492,2
677d856e8640497613a5ea7a,1.0,5.0,5.333,1.667,54492,3
677d856e8640497613a5ea7b,8.667,6.0,8.0,6.0,211860,1
677d856e8640497613a5ea7c,8.0,8.0,8.0,8.0,211860,2
677d856e8640497613a5ea7d,3.0,10.0,10.0,3.333,184384,1
677d856e8640497613a5ea7e,3.667,7.333,10.0,4.333,565269,1
677d856e8640497613a5ea7f,10.0,6.333,6.667,6.333,565269,2
677d856e8640497613a5ea80,8.333,6.0,4.667,5.0,565269,3
677d856e8640497613a5ea81,10.0,8.667,8.333,8.333,267300,1
677d856e8640497613a5ea82,10.0,9.0,10.0,9.333,267300,2
677d856e8640497613a5ea83,10.0,10.0,10.0,10.0,70952,1
677d856e8640497613a5ea84,5.667,2.333,3.0,3.333,70952,2
677d856e8640497613a5ea85,10.0,8.0,9.0,9.0,70952,3
677d856e8640497613a5ea86,10.0,9.333,8.667,9.0,393375,1
677d856e8640497613a5ea87,10.0,10.0,10.0,10.0,393375,2
677d856e8640497613a5ea88,1.667,4.0,5.333,3.667,336015,1
677d856e8640497613a5ea89,10.0,9.333,9.333,9.333,336015,2
677d856e8640497613a5ea8a,10.0,6.333,5.0,6.0,336015,3
677d856e8640497613a5ea8b,9.333,9.667,10.0,9.333,319096,1
677d856e8640497613a5ea8c,5.0,4.667,6.667,3.667,319096,2
677d856e8640497613a5ea8d,6.0,5.667,5.333,5.667,392837,1
677d856e8640497613a5ea8e,10.0,10.0,10.0,10.0,392837,2
677d856e8640497613a5ea8f,5.0,1.0,1.0,2.0,392837,3
677d856e8640497613a5ea90,9.333,8.667,9.667,8.667,92009,1
677d856e8640497613a5ea91,10.0,9.667,10.0,10.0,92009,2
677d856e8640497613a5ea92,1.0,4.333,9.667,2.0,92009,3
677d856e8640497613a5ea93,10.0,9.0,9.0,9.333,10546,1
677d856e8640497613a5ea94,10.0,10.0,9.667,9.667,426040,1
677d856e8640497613a5ea96,10.0,9.0,8.333,9.0,393271,1
677d856e8640497613a5ea97,10.0,9.333,9.667,9.667,329847,1
677d856e8640497613a5ea98,9.667,4.0,4.333,4.333,329847,2
677d856e8640497613a5ea99,10.0,8.667,8.667,9.0,329847,3
677d856e8640497613a5ea9a,3.667,6.333,8.667,5.333,209923,1
677d856e8640497613a5ea9b,10.0,10.0,10.0,10.0,209923,2
677d856e8640497613a5ea9c,9.667,9.667,10.0,9.667,209923,3
677d856e8640497613a5ea9d,1.0,9.667,10.0,1.667,49,1
677d856e8640497613a5ea9e,7.333,2.667,2.667,3.333,49,2
677d856e8640497613a5ea9f,2.0,2.333,2.333,2.0,49,3
677d856e8640497613a5eaa0,9.667,9.667,10.0,9.667,77596,1
677d856e8640497613a5eaa1,9.333,8.667,8.667,8.333,43425,1
677d856e8640497613a5eaa2,9.0,10.0,10.0,9.333,43425,2
677d856e8640497613a5eaa3,9.667,8.333,10.0,9.0,43425,3
677d856e8640497613a5eaa4,9.333,10.0,9.667,9.667,463066,1
677d856e8640497613a5eaa5,6.0,6.333,7.0,5.667,360871,1
677d856e8640497613a5eaa6,9.667,10.0,10.0,9.667,360871,2
677d856e8640497613a5eaa7,9.0,7.667,8.667,7.667,181699,1
677d856e8640497613a5eaa8,10.0,9.333,9.667,9.667,181699,2
677d856e8640497613a5eaa9,1.0,8.333,8.667,1.667,181699,3
677d856e8640497613a5eaaa,10.0,9.667,9.0,9.667,129587,1
677d856e8640497613a5eaab,9.667,9.333,9.667,9.667,129587,2
677d856e8640497613a5eaac,9.333,8.333,8.667,8.667,129587,3
677d856e8640497613a5eaad,6.667,5.333,9.0,5.667,540816,1
677d856e8640497613a5eaae,0.333,7.0,10.0,0.667,341070,1
677d856e8640497613a5eaaf,10.0,10.0,10.0,10.0,333551,1
677d856e8640497613a5eab0,7.0,9.333,9.333,7.333,333551,2
677d856e8640497613a5eab1,1.0,5.667,6.667,1.667,333551,3
677d856e8640497613a5eab2,10.0,9.333,9.667,10.0,536073,1
677d856e8640497613a5eab3,9.667,8.0,9.333,8.333,536073,2
677d856e8640497613a5eab4,7.667,8.0,6.333,8.0,536073,3
677d856e8640497613a5eab5,10.0,7.0,8.333,7.333,82679,1
677d856e8640497613a5eab6,9.0,10.0,10.0,9.333,381199,1
677d856e8640497613a5eab7,10.0,9.667,10.0,10.0,381199,2
677d856e8640497613a5eab8,10.0,9.667,9.667,9.667,153639,1
677d856e8640497613a5eab9,10.0,8.667,9.333,9.0,153639,2
677d856e8640497613a5eaba,10.0,9.0,8.333,8.667,153639,3
677d856e8640497613a5eabb,10.0,10.0,10.0,10.0,483587,1
677d856e8640497613a5eabc,10.0,10.0,10.0,10.0,483587,2
677d856e8640497613a5eabd,3.667,6.0,6.667,4.667,456782,1
677d856e8640497613a5eabe,5.667,7.667,8.0,5.667,456782,2
677d856e8640497613a5eabf,10.0,9.0,9.333,9.667,456782,3
677d856e8640497613a5eac0,10.0,8.333,9.0,8.667,369969,1
677d856e8640497613a5eac1,9.333,10.0,10.0,9.667,369969,2
677d856e8640497613a5eac2,10.0,9.0,9.333,9.333,31749,1
677d856e8640497613a5eac3,10.0,9.333,9.333,9.333,465301,1
677d856e8640497613a5eac4,10.0,8.333,9.0,9.0,315319,1
677d856e8640497613a5eac5,9.333,8.667,9.0,9.0,315319,2
677d856e8640497613a5eac6,4.0,8.333,9.667,4.667,302107,1
677d856e8640497613a5eac7,8.667,9.333,9.667,8.667,302107,2
677d856e8640497613a5eac8,10.0,8.667,9.0,9.333,580685,1
677d856e8640497613a5eac9,2.0,8.333,9.333,3.0,580685,2
677d856e8640497613a5eaca,10.0,9.333,9.667,9.667,580685,3
677d856e8640497613a5eacb,9.667,9.333,9.0,9.0,308507,1
677d856e8640497613a5eacc,4.667,7.333,8.0,4.667,308507,2
677d856e8640497613a5eace,10.0,9.667,10.0,10.0,58268,1
677d856e8640497613a5eacf,9.333,10.0,10.0,9.333,58268,2
677d856e8640497613a5ead0,10.0,8.667,9.333,9.333,58268,3
677d856e8640497613a5ead1,7.667,9.333,8.667,8.0,219590,1
677d856e8640497613a5ead2,10.0,9.333,9.667,10.0,219590,2
677d856e8640497613a5ead3,10.0,8.667,8.333,8.667,151,1
677d856e8640497613a5ead4,7.0,9.333,7.0,6.667,234956,1
677d856e8640497613a5ead5,10.0,9.333,9.667,10.0,234956,2
677d856e8640497613a5ead7,9.333,9.0,9.0,9.0,450129,1
677d856e8640497613a5ead8,9.667,9.333,9.667,9.333,450129,2
677d856e8640497613a5eada,10.0,10.0,9.0,9.667,270186,1
677d856e8640497613a5eadc,8.333,9.0,9.333,8.667,480489,2
677d856e8640497613a5eade,8.333,9.333,9.333,8.667,178403,2
677d856e8640497613a5eadf,8.333,6.333,8.0,6.667,178403,3
677d856e8640497613a5eae0,10.0,9.667,10.0,10.0,44437,1
677d856e8640497613a5eae1,5.0,1.333,2.0,2.667,44437,2
677d856e8640497613a5eae2,9.667,9.667,9.667,10.0,490317,1
677d856e8640497613a5eae3,7.333,9.667,9.667,8.333,510027,1
677d856e8640497613a5eae4,8.667,9.667,9.333,8.333,510027,2
677d856e8640497613a5eae5,9.667,9.667,10.0,9.333,510027,3
677d856e8640497613a5eae6,9.667,8.667,9.0,9.0,57357,1
677d856e8640497613a5eae7,9.667,10.0,10.0,9.667,57357,2
677d856e8640497613a5eae8,1.667,3.333,3.0,2.333,57357,3
677d856e8640497613a5eae9,10.0,9.667,10.0,10.0,459272,1
677d856e8640497613a5eaea,10.0,8.667,8.667,9.0,459272,2
677d856e8640497613a5eaeb,10.0,8.0,8.0,8.333,459272,3
677d856e8640497613a5eaec,9.667,4.667,8.667,5.333,458804,1
677d856e8640497613a5eaee,10.0,9.0,9.0,9.0,25989,1
677d856e8640497613a5eaef,7.333,9.333,10.0,7.333,25989,2
677d856e8640497613a5eaf0,9.0,10.0,10.0,9.667,25989,3
677d856e8640497613a5eaf1,9.667,9.0,8.333,8.667,102625,1
677d856e8640497613a5eaf2,3.333,7.0,7.0,3.0,102625,2
677d856e8640497613a5eaf3,9.0,7.0,8.0,7.333,102625,3
677d856e8640497613a5eaf4,9.667,9.0,9.0,9.0,272405,1
677d856e8640497613a5eaf5,9.667,7.333,8.667,7.667,272405,2
677d856e8640497613a5eaf6,9.667,5.667,2.667,4.667,272405,3
677d856e8640497613a5eaf7,7.667,10.0,10.0,8.333,50151,1
677d856e8640497613a5eaf8,5.667,3.667,7.667,5.0,50151,2
677d856e8640497613a5eaf9,4.333,8.667,8.0,5.0,50151,3
677d856e8640497613a5eafa,10.0,7.333,7.667,8.0,2585,1
677d856e8640497613a5eafb,10.0,8.333,9.667,9.333,2585,2
677d856e8640497613a5eafc,10.0,10.0,10.0,10.0,2585,3
677d856e8640497613a5eafd,10.0,5.0,7.0,5.667,236599,1
677d856e8640497613a5eafe,9.333,8.333,10.0,9.0,188612,1
677d856e8640497613a5eaff,9.333,8.333,9.333,8.667,96497,1
677d856e8640497613a5eb00,7.333,5.0,5.333,6.0,270650,1
677d856e8640497613a5eb01,10.0,8.667,9.667,8.667,121612,1
677d856e8640497613a5eb02,9.667,6.333,8.333,7.0,91839,1
677d856e8640497613a5eb03,8.667,9.333,10.0,8.333,13914,1
677d856e8640497613a5eb04,10.0,9.333,9.667,9.667,163114,1
677d856e8640497613a5eb05,3.667,9.0,9.0,5.667,163114,2
677d856e8640497613a5eb06,9.333,9.667,9.667,9.333,104304,1
677d856e8640497613a5eb07,9.667,8.667,9.667,9.0,104304,2
677d856e8640497613a5eb09,9.667,3.333,7.0,5.333,399759,1
677d856e8640497613a5eb0a,10.0,9.667,9.667,9.667,399759,2
677d856e8640497613a5eb0b,10.0,9.667,9.667,10.0,557105,1
677d856e8640497613a5eb0c,10.0,9.333,9.0,9.667,557105,2
677d856e8640497613a5eb0d,1.667,7.0,9.333,2.333,557105,3
677d856e8640497613a5eb0e,10.0,9.667,9.667,10.0,415314,1
677d856e8640497613a5eb0f,9.0,9.667,10.0,9.333,415314,2
677d856e8640497613a5eb11,2.0,7.667,9.667,2.0,147546,1
677d856e8640497613a5eb14,9.0,9.667,9.667,9.667,357865,3
677d856e8640497613a5eb15,10.0,10.0,10.0,10.0,90192,1
677d856e8640497613a5eb16,9.333,8.667,9.667,9.0,90192,2
677d856e8640497613a5eb17,10.0,10.0,10.0,10.0,182759,1
677d856e8640497613a5eb18,10.0,9.0,8.667,9.0,182759,2
677d856e8640497613a5eb19,4.667,9.0,9.333,4.667,182759,3
677d856e8640497613a5eb1a,9.667,9.0,9.333,9.0,395040,1
677d856e8640497613a5eb1b,10.0,5.667,7.0,6.0,466845,1
677d856e8640497613a5eb1c,9.667,6.667,8.0,7.0,134597,1
677d856e8640497613a5eb1d,9.333,9.0,8.667,8.667,134597,2
677d856e8640497613a5eb1e,9.667,9.333,9.0,9.0,574250,1
677d856e8640497613a5eb20,9.0,7.667,9.0,8.333,563122,2
677d856e8640497613a5eb21,6.333,6.333,8.667,5.333,563122,3
677d856e8640497613a5eb22,0.667,9.0,10.0,1.667,75065,1
677d856e8640497613a5eb23,2.333,4.0,8.667,4.333,75065,2
677d856e8640497613a5eb24,10.0,7.667,9.0,8.667,75065,3
677d856e8640497613a5eb25,10.0,10.0,10.0,10.0,410182,1
677d856e8640497613a5eb26,8.333,7.0,6.0,7.0,382564,1
677d856e8640497613a5eb28,7.333,8.0,10.0,7.333,155790,1
677d856e8640497613a5eb29,10.0,10.0,10.0,10.0,155790,2
677d856e8640497613a5eb2a,10.0,8.333,8.333,8.667,155790,3
677d856e8640497613a5eb2b,7.333,4.0,6.667,4.0,515743,1
677d856e8640497613a5eb2c,9.333,3.0,4.333,5.0,515743,2
677d856e8640497613a5eb2d,10.0,10.0,10.0,10.0,493074,1
677d856e8640497613a5eb2e,7.0,9.333,10.0,6.667,493074,2
677d856e8640497613a5eb2f,8.333,8.0,8.333,8.0,493074,3
677d856e8640497613a5eb30,10.0,7.333,8.0,8.0,337180,1
677d856e8640497613a5eb31,9.667,6.333,9.667,7.667,337180,2
677d856e8640497613a5eb33,10.0,10.0,10.0,10.0,140513,1
677d856e8640497613a5eb34,9.333,9.0,8.667,8.667,140513,2
677d856e8640497613a5eb35,10.0,10.0,9.667,10.0,142400,1
677d856e8640497613a5eb36,10.0,9.667,10.0,10.0,142400,2
677d856e8640497613a5eb37,10.0,9.333,9.333,9.667,417814,1
677d856e8640497613a5eb38,10.0,10.0,10.0,10.0,11091,1
677d856e8640497613a5eb39,4.667,4.333,6.0,4.0,205344,1
677d856e8640497613a5eb3a,10.0,9.333,10.0,9.667,205344,2
677d856e8640497613a5eb3b,9.333,9.333,10.0,9.333,189893,1
677d856e8640497613a5eb3c,10.0,7.333,8.667,8.333,189893,2
677d856e8640497613a5eb3d,9.667,8.333,9.0,8.667,532810,1
677d856e8640497613a5eb3f,2.667,7.667,9.0,3.667,565012,1
677d856e8640497613a5eb40,9.333,6.333,8.0,7.0,565012,2
677d856e8640497613a5eb41,10.0,9.667,9.0,9.667,393224,1
677d856e8640497613a5eb42,6.667,9.0,9.667,6.667,393224,2
677d856e8640497613a5eb43,10.0,7.333,8.333,7.667,178928,1
677d856e8640497613a5eb44,8.667,8.0,9.333,7.667,178928,2
677d856e8640497613a5eb45,5.333,6.667,6.667,6.0,354126,1
677d856e8640497613a5eb46,10.0,9.333,9.0,9.333,354126,2
677d856e8640497613a5eb47,7.0,8.0,8.0,5.667,354126,3
677d856e8640497613a5eb48,5.667,6.667,9.0,5.667,429011,1
677d856e8640497613a5eb49,1.0,4.667,7.0,1.667,429011,2
677d856e8640497613a5eb4a,10.0,9.667,10.0,10.0,429011,3
677d856e8640497613a5eb4b,10.0,8.333,8.333,8.333,177824,1
677d856e8640497613a5eb4c,1.333,7.333,6.333,2.667,177824,2
677d856e8640497613a5eb4d,3.333,2.0,4.667,2.0,177824,3
677d856e8640497613a5eb4e,8.333,10.0,10.0,8.667,266961,1
677d856e8640497613a5eb4f,4.667,9.0,10.0,5.333,266961,2
677d856e8640497613a5eb51,7.0,7.333,10.0,7.0,308192,1
677d856e8640497613a5eb52,10.0,10.0,10.0,10.0,308192,2
677d856e8640497613a5eb53,9.667,8.333,8.667,8.667,491430,1
677d856e8640497613a5eb54,10.0,4.333,5.333,5.0,214848,1
677d856e8640497613a5eb55,9.667,5.0,4.667,5.333,214848,2
677d856e8640497613a5eb56,10.0,10.0,10.0,10.0,215135,1
677d856e8640497613a5eb57,9.333,8.667,9.0,8.333,215135,2
677d856e8640497613a5eb58,10.0,10.0,9.333,10.0,215135,3
677d856e8640497613a5eb59,10.0,6.667,8.0,7.0,417830,1
677d856e8640497613a5eb5a,4.333,10.0,9.667,6.667,417830,2
677d856e8640497613a5eb5b,10.0,8.333,9.667,8.667,417830,3
677d856e8640497613a5eb5c,8.667,8.0,9.667,7.667,362944,1
677d856e8640497613a5eb5d,8.667,9.667,9.667,9.0,362944,2
677d856e8640497613a5eb5f,9.0,8.333,8.667,8.667,352426,1
677d856e8640497613a5eb60,10.0,7.667,10.0,8.333,352426,2
677d856e8640497613a5eb61,10.0,8.667,9.333,9.333,352426,3
677d856e8640497613a5eb62,9.667,9.0,9.0,9.333,577847,1
677d856e8640497613a5eb63,9.333,8.0,9.667,8.333,577847,2
677d856e8640497613a5eb64,9.333,8.667,9.667,9.0,577847,3
677d856e8640497613a5eb65,10.0,6.333,8.0,6.667,24585,1
677d856e8640497613a5eb66,8.667,9.667,10.0,9.0,55458,1
677d856e8640497613a5eb67,8.667,9.333,9.333,9.333,24629,1
677d856e8640497613a5eb68,10.0,7.667,9.0,8.667,221427,1
677d856e8640497613a5eb69,8.667,4.667,7.333,5.333,453302,1
677d856e8640497613a5eb6a,8.333,5.0,4.333,5.0,145741,1
677d856e8640497613a5eb6b,9.667,9.333,10.0,9.667,100081,1
677d856e8640497613a5eb6d,1.667,4.667,6.0,3.0,100081,3
677d856e8640497613a5eb6e,1.0,4.0,5.333,2.0,371643,1
677d856e8640497613a5eb70,4.667,3.0,3.333,2.333,371643,3
677d856e8640497613a5eb71,10.0,7.667,9.333,7.667,7996,1
677d856e8640497613a5eb72,9.667,9.667,10.0,9.667,7996,2
677d856e8640497613a5eb73,9.333,8.667,8.667,9.0,7996,3
677d856e8640497613a5eb74,1.667,2.333,5.0,2.0,262161,1
677d856e8640497613a5eb75,1.333,9.667,9.333,2.667,262161,2
677d856e8640497613a5eb76,0.667,1.0,4.333,1.0,262161,3
677d856e8640497613a5eb77,9.667,9.0,10.0,9.0,253975,1
677d856e8640497613a5eb79,9.0,6.667,8.667,7.0,204837,1
677d856e8640497613a5eb7a,9.333,5.0,8.0,6.333,422921,1
677d856e8640497613a5eb7b,6.0,5.667,7.333,6.0,422921,2
677d856e8640497613a5eb7c,8.333,8.667,9.667,8.0,422921,3
677d856e8640497613a5eb7d,1.333,6.333,5.667,1.667,109776,1
677d856e8640497613a5eb7e,10.0,9.667,9.333,9.667,109776,2
677d856e8640497613a5eb7f,9.333,10.0,10.0,9.667,237569,1
677d856e8640497613a5eb80,6.667,6.333,9.667,6.667,237569,2
677d856e8640497613a5eb81,10.0,10.0,9.667,10.0,237569,3
677d856e8640497613a5eb82,10.0,9.0,8.667,9.0,535902,1
677d856e8640497613a5eb83,9.667,9.667,10.0,9.667,221222,1
677d856e8640497613a5eb84,9.667,5.0,7.333,5.667,187866,1
677d856e8640497613a5eb85,10.0,7.0,9.0,7.333,187866,2
677d856e8640497613a5eb86,10.0,10.0,9.667,10.0,458821,1
677d856e8640497613a5eb88,9.333,10.0,10.0,9.667,142510,2
677d856e8640497613a5eb8a,0.667,3.667,3.667,1.0,25139,1
677d856e8640497613a5eb8b,6.333,3.333,5.333,4.0,450597,1
677d856e8640497613a5eb8c,6.667,7.0,8.333,6.333,450597,2
677d856e8640497613a5eb8d,10.0,8.667,8.0,9.0,450597,3
677d856e8640497613a5eb8e,9.333,8.667,9.0,8.667,106772,1
677d856e8640497613a5eb8f,10.0,9.333,9.667,9.333,106772,2
677d856e8640497613a5eb90,10.0,8.333,8.0,8.667,468505,1
677d856e8640497613a5eb91,9.667,9.667,9.667,9.333,365258,1
677d856e8640497613a5eb92,7.667,6.667,7.0,7.667,365258,2
677d856e8640497613a5eb95,10.0,10.0,10.0,10.0,256884,2
677d856e8640497613a5eb96,9.333,7.0,7.333,7.333,45999,1
677d856e8640497613a5eb97,1.0,6.333,8.0,3.0,45999,2
677d856e8640497613a5eb98,10.0,9.667,10.0,10.0,45999,3
677d856e8640497613a5eb9b,10.0,8.667,8.667,8.667,409181,1
677d856e8640497613a5eb9c,7.333,5.333,4.667,4.667,150812,1
677d856e8640497613a5eb9e,10.0,7.333,9.333,8.333,177572,1
677d856e8640497613a5eb9f,10.0,8.667,9.0,9.0,177572,2
677d856e8640497613a5eba0,10.0,10.0,10.0,10.0,175584,1
677d856e8640497613a5eba1,9.333,10.0,10.0,9.333,175584,2
677d856e8640497613a5eba3,8.667,9.0,9.667,8.667,428304,1
677d856e8640497613a5eba4,10.0,10.0,9.667,10.0,428304,2
677d856e8640497613a5eba5,9.667,2.333,2.0,3.0,147745,1
677d856e8640497613a5eba6,10.0,7.667,10.0,8.0,571790,1
677d856e8640497613a5eba7,10.0,8.333,9.667,8.667,501972,1
677d856e8640497613a5eba8,10.0,9.333,10.0,9.667,501972,2
677d856e8640497613a5eba9,9.333,7.0,7.667,7.667,501972,3
677d856e8640497613a5ebab,10.0,9.333,8.667,9.333,125106,2
677d856e8640497613a5ebac,0.667,9.333,10.0,1.333,125106,3
677d856e8640497613a5ebad,10.0,7.0,9.0,7.333,190360,1
677d856e8640497613a5ebae,10.0,8.667,9.667,9.0,190360,2
677d856e8640497613a5ebaf,7.333,9.667,9.667,7.333,190360,3
677d856e8640497613a5ebb0,7.0,8.0,9.667,6.333,531495,1
677d856e8640497613a5ebb1,10.0,3.0,2.667,3.333,531495,2
677d856e8640497613a5ebb3,0.667,3.667,3.667,1.0,282572,1
677d856e8640497613a5ebb4,3.667,4.667,6.333,4.333,282572,2
677d856e8640497613a5ebb5,6.0,8.0,8.667,5.667,282572,3
677d856e8640497613a5ebb6,2.333,5.0,7.333,3.333,140043,1
677d856e8640497613a5ebb7,10.0,10.0,10.0,10.0,98385,1
677d856e8640497613a5ebb8,10.0,10.0,10.0,10.0,98385,2
