,_id,id,turn,rater,alignment,quality,consistency,overall
33,677d856e8640497613a5ebae,190360,2,sona,10,9,10,9
34,677d856e8640497613a5ebf2,292451,3,sona,7,7,5,6
35,677d856e8640497613a5ea0e,398575,2,sona,10,3,6,5
36,677d856e8640497613a5ea1f,381112,1,sona,10,6,7,7
37,677d856e8640497613a5ea29,524924,1,sona,10,5,5,6
38,677d856e8640497613a5ea38,422328,1,sona,10,3,6,6
39,677d856e8640497613a5ea45,853,3,sona,10,6,10,7
40,677d856e8640497613a5ea93,10546,1,sona,10,4,8,6
41,677d856e8640497613a5eafe,188612,1,sona,10,6,10,6
42,677d856e8640497613a5eb09,399759,1,sona,7,1,5,2
43,677d856e8640497613a5eb22,75065,1,sona,6,5,8,6
44,677d856e8640497613a5eb25,410182,1,sona,10,10,10,10
45,677d856e8640497613a5eb2c,515743,2,sona,6,2,2,2
46,677d856e8640497613a5eb3c,189893,2,sona,8,6,4,4
47,677d856e8640497613a5eb45,354126,1,sona,8,5,4,4
48,677d856e8640497613a5eb64,577847,3,sona,10,10,10,10
49,677d856e8640497613a5eb91,365258,1,sona,10,9,10,9
50,677d856e8640497613a5ebb6,140043,1,sona,8,10,6,8
51,677d856e8640497613a5ea15,532493,3,sona,5,6,8,5
52,677d856e8640497613a5ea17,112286,2,sona,9,8,10,9
53,677d856e8640497613a5ea1d,475195,1,sona,10,9,9,9
54,677d856e8640497613a5ea2a,524924,2,sona,10,7,10,7
55,677d856e8640497613a5ea86,393375,1,sona,10,4,5,6
56,677d856e8640497613a5eaec,458804,1,sona,9,5,5,4
57,677d856e8640497613a5eaef,25989,2,sona,10,10,10,10
58,677d856e8640497613a5eafc,2585,3,sona,10,10,10,10
59,677d856e8640497613a5eb58,215135,3,sona,10,10,7,8
60,677d856e8640497613a5eba5,147745,1,sona,2,2,2,1
61,677d856e8640497613a5ebac,125106,3,sona,4,3,10,4
62,677d856e8640497613a5ebd4,106508,1,sona,5,3,7,4
63,677d856e8640497613a5ebe6,393226,2,sona,10,4,5,5
64,677d856e8640497613a5ebf5,229301,3,sona,5,7,9,7
65,677d856e8640497613a5ea19,67269,1,sona,10,4,3,3
66,677d856e8640497613a5ea1b,148240,1,sona,6,1,2,1
67,677d856e8640497613a5ea46,289514,1,sona,10,2,2,2
68,677d856e8640497613a5ea4d,100558,1,sona,10,7,9,8
69,677d856e8640497613a5ea7d,184384,1,sona,10,10,6,8
70,677d856e8640497613a5eab8,153639,1,sona,10,10,10,10
71,677d856e8640497613a5eaee,25989,1,sona,10,6,6,6
72,677d856e8640497613a5eb1a,395040,1,sona,10,5,6,6
73,677d856e8640497613a5ebb3,282572,1,sona,8,3,4,3
74,677d856e8640497613a5ebec,90145,1,sona,10,4,5,4
75,677d856e8640497613a5ea31,194956,2,sona,7,4,5,5
76,677d856e8640497613a5ea49,353915,1,sona,10,7,9,10
77,677d856e8640497613a5ea59,480776,2,sona,8,9,10,9
78,677d856e8640497613a5ea6f,15653,1,sona,10,9,8,8
79,677d856e8640497613a5ea71,550349,2,sona,8,6,5,5
80,677d856e8640497613a5ea7b,211860,1,sona,10,9,9,9
81,677d856e8640497613a5ea85,70952,3,sona,10,6,8,8
82,677d856e8640497613a5ea8e,392837,2,sona,10,10,10,10
83,677d856e8640497613a5ea9a,209923,1,sona,6,4,6,4
84,677d856e8640497613a5eabf,456782,3,sona,10,4,4,6
85,677d856e8640497613a5eaf1,102625,1,sona,8,7,7,7
86,677d856e8640497613a5eb1d,134597,2,sona,7,5,2,3
87,677d856e8640497613a5eb46,354126,2,sona,10,7,10,9
88,677d856e8640497613a5eb53,491430,1,sona,10,5,10,8
89,677d856e8640497613a5eba1,175584,2,sona,9,10,8,9
90,677d856e8640497613a5ebc1,259097,1,sona,10,8,9,8
91,677d856e8640497613a5ea3e,111376,1,sona,10,5,3,5
92,677d856e8640497613a5ea65,313345,2,sona,5,5,3,4
93,677d856e8640497613a5ea77,332877,1,sona,6,5,7,6
94,677d856e8640497613a5ea84,70952,2,sona,5,3,4,4
95,677d856e8640497613a5eb1b,466845,1,sona,10,10,9,9
96,677d856e8640497613a5eb1e,574250,1,sona,10,5,3,5
97,677d856e8640497613a5eb23,75065,2,sona,1,5,5,4
98,677d856e8640497613a5eb30,337180,1,sona,10,7,7,7
99,677d856e8640497613a5eb7e,109776,2,sona,10,8,9,8
100,677d856e8640497613a5eb80,237569,2,sona,6,8,7,7
101,677d856e8640497613a5eb85,187866,2,sona,10,5,6,6
102,677d856e8640497613a5ea94,426040,1,sona,10,9,10,9
103,677d856e8640497613a5ea99,329847,3,sona,10,9,10,9
104,677d856e8640497613a5eac4,315319,1,sona,10,9,9,9
105,677d856e8640497613a5eacf,58268,2,sona,10,10,10,10
106,677d856e8640497613a5ead3,151,1,sona,10,6,4,6
107,677d856e8640497613a5eae5,510027,3,sona,10,10,10,10
108,677d856e8640497613a5eaf5,272405,2,sona,10,7,5,6
109,677d856e8640497613a5eb01,121612,1,sona,9,6,6,5
110,677d856e8640497613a5eb0d,557105,3,sona,2,2,3,2
111,677d856e8640497613a5eb19,182759,3,sona,8,6,9,7
112,677d856e8640497613a5eb2e,493074,2,sona,6,7,8,7
113,677d856e8640497613a5eb92,365258,2,sona,10,7,9,8
114,677d856e8640497613a5ebbe,520480,1,sona,10,9,10,9
115,677d856e8640497613a5ebd1,249441,2,sona,3,2,5,3
116,677d856e8640497613a5ea0c,523394,1,sona,10,6,8,8
117,677d856e8640497613a5ea68,403265,1,sona,5,4,6,4
118,677d856e8640497613a5ea82,267300,2,sona,10,10,10,10
119,677d856e8640497613a5eaaf,333551,1,sona,5,5,4,4
120,677d856e8640497613a5eabb,483587,1,sona,10,10,9,9
121,677d856e8640497613a5eb7c,422921,3,sona,7,5,4,4
122,677d856e8640497613a5eb83,221222,1,sona,10,5,5,6
123,677d856e8640497613a5ebd9,204863,1,sona,10,8,10,9
124,677d856e8640497613a5ea08,392687,1,sona,10,7,10,8
125,677d856e8640497613a5ea18,112286,3,sona,1,3,2,1
126,677d856e8640497613a5ea30,194956,1,sona,9,6,8,8
127,677d856e8640497613a5ea3b,5434,1,sona,9,9,10,9
128,677d856e8640497613a5ea4e,529376,1,sona,10,6,7,6
129,677d856e8640497613a5ea50,529376,3,sona,7,4,5,4
130,677d856e8640497613a5ea73,335479,1,sona,1,2,5,3
131,677d856e8640497613a5ea8f,392837,3,sona,9,1,1,1
132,677d856e8640497613a5eade,178403,2,sona,10,6,2,4
133,677d856e8640497613a5eaf4,272405,1,sona,10,8,6,7
134,677d856e8640497613a5eb34,140513,2,sona,6,6,6,6
135,677d856e8640497613a5eb35,142400,1,sona,10,9,10,10
136,677d856e8640497613a5eb37,417814,1,sona,5,5,5,5
137,677d856e8640497613a5eb48,429011,1,sona,5,5,3,4
138,677d856e8640497613a5eb57,215135,2,sona,7,6,5,7
139,677d856e8640497613a5eb8f,106772,2,sona,10,8,9,9
140,677d856e8640497613a5eba9,501972,3,sona,7,4,4,5
141,677d856e8640497613a5ebca,3131,2,sona,5,2,3,2
142,677d856e8640497613a5ebf7,206622,2,sona,10,10,10,10
143,677d856e8640497613a5ea12,17320,3,sona,5,3,9,4
144,677d856e8640497613a5ea21,381112,3,sona,10,1,5,3
145,677d856e8640497613a5ea3a,422328,3,sona,1,8,8,3
146,677d856e8640497613a5eab0,333551,2,sona,8,7,4,4
147,677d856e8640497613a5eaea,459272,2,sona,10,2,6,4
148,677d856e8640497613a5eb04,163114,1,sona,10,9,9,9
149,677d856e8640497613a5eb43,178928,1,sona,10,5,5,6
150,677d856e8640497613a5eb44,178928,2,sona,10,6,3,5
151,677d856e8640497613a5eb5f,352426,1,sona,10,6,3,4
152,677d856e8640497613a5eb74,262161,1,sona,3,2,1,1
153,677d856e8640497613a5eb98,45999,3,sona,10,10,10,10
154,677d856e8640497613a5ebad,190360,1,sona,10,10,10,10
155,677d856e8640497613a5ebb4,282572,2,sona,5,3,5,4
156,677d856e8640497613a5ebf9,26735,1,sona,8,6,8,7
157,677d856e8640497613a5ea0a,392687,3,sona,5,3,6,4
158,677d856e8640497613a5ea66,184184,1,sona,7,10,10,9
159,677d856e8640497613a5eaa7,181699,1,sona,10,6,9,8
160,677d856e8640497613a5eaa8,181699,2,sona,10,9,10,9
161,677d856e8640497613a5eac3,465301,1,sona,10,10,10,10
162,677d856e8640497613a5eafa,2585,1,sona,10,8,9,8
163,677d856e8640497613a5eaff,96497,1,sona,10,9,9,9
164,677d856e8640497613a5eb67,24629,1,sona,10,10,10,10
165,677d856e8640497613a5eb70,371643,3,sona,8,3,6,5
166,677d856e8640497613a5eb76,262161,3,sona,1,1,4,3
167,677d856e8640497613a5eb7d,109776,1,sona,3,3,4,3
168,677d856e8640497613a5ebb5,282572,3,sona,10,5,7,5
169,677d856e8640497613a5ebc6,512576,1,sona,10,9,10,9
170,677d856e8640497613a5ebdf,240967,1,sona,10,10,9,9
171,677d856e8640497613a5ebe0,240967,2,sona,2,3,2,2
172,677d856e8640497613a5ea07,142585,1,sona,5,6,3,4
173,677d856e8640497613a5ea5e,291861,1,sona,10,7,6,6
174,677d856e8640497613a5ea61,122896,1,sona,10,6,7,7
175,677d856e8640497613a5ea70,550349,1,sona,10,7,7,7
176,677d856e8640497613a5ea7a,54492,3,sona,1,3,3,2
177,677d856e8640497613a5ea7f,565269,2,sona,10,6,5,6
178,677d856e8640497613a5ea8a,336015,3,sona,10,3,5,3
179,677d856e8640497613a5ea8c,319096,2,sona,7,3,8,3
180,677d856e8640497613a5eaa2,43425,2,sona,10,9,10,9
181,677d856e8640497613a5eaca,580685,3,sona,10,10,10,10
182,677d856e8640497613a5ead7,450129,1,sona,10,5,9,8
183,677d856e8640497613a5eb18,182759,2,sona,10,7,9,8
184,677d856e8640497613a5eb20,563122,2,sona,9,6,6,7
185,677d856e8640497613a5eb40,565012,2,sona,10,5,5,5
186,677d856e8640497613a5ebf8,206622,3,sona,10,3,3,3
187,677d856e8640497613a5ea2d,80932,1,sona,10,10,10,10
188,677d856e8640497613a5ea9b,209923,2,sona,10,7,10,9
189,677d856e8640497613a5eaaa,129587,1,sona,10,7,5,6
190,677d856e8640497613a5eab4,536073,3,sona,10,5,5,5
191,677d856e8640497613a5eab9,153639,2,sona,10,5,9,8
192,677d856e8640497613a5eac9,580685,2,sona,8,6,6,6
193,677d856e8640497613a5ead4,234956,1,sona,10,10,10,10
194,677d856e8640497613a5eae9,459272,1,sona,10,10,10,10
195,677d856e8640497613a5eafd,236599,1,sona,7,3,4,3
196,677d856e8640497613a5eb16,90192,2,sona,7,6,5,6
197,677d856e8640497613a5eb41,393224,1,sona,10,9,10,9
198,677d856e8640497613a5eb72,7996,2,sona,6,3,9,5
199,677d856e8640497613a5eb73,7996,3,sona,5,5,5,5
200,677d856e8640497613a5eb7f,237569,1,sona,10,10,10,10
201,677d856e8640497613a5eb82,535902,1,sona,10,8,10,9
202,677d856e8640497613a5eb88,142510,2,sona,10,10,7,8
203,677d856e8640497613a5ebd5,106508,2,sona,10,5,10,5
204,677d856e8640497613a5ea20,381112,2,sona,2,5,5,4
205,677d856e8640497613a5ea24,544114,3,sona,8,7,8,7
206,677d856e8640497613a5ea2c,203920,1,sona,8,3,5,4
207,677d856e8640497613a5ea4c,299200,3,sona,4,2,3,2
208,677d856e8640497613a5ea53,581668,1,sona,3,7,10,5
209,677d856e8640497613a5ea6d,86582,2,sona,10,8,10,9
210,677d856e8640497613a5eb52,308192,2,sona,10,9,8,9
211,677d856e8640497613a5eb5d,362944,2,sona,10,5,9,8
212,677d856e8640497613a5eb60,352426,2,sona,10,4,3,3
213,677d856e8640497613a5eb75,262161,2,sona,1,1,3,2
214,677d856e8640497613a5ebcb,3131,3,sona,5,5,5,5
215,677d856e8640497613a5ebfa,26735,2,sona,10,4,5,4
216,677d856e8640497613a5ec0b,122927,3,sona,10,3,5,4
217,677d856e8640497613a5ec12,158726,1,sona,10,9,7,7
218,677d856e8640497613a5ec11,359569,1,sona,10,9,10,9
219,677d856e8640497613a5ec01,6484,2,sona,10,9,8,9
220,677d856e8640497613a5ec06,519172,1,sona,10,9,9,9
221,677d856e8640497613a5ec08,519172,3,sona,2,2,7,3
222,677d856e8640497613a5ec03,81971,1,sona,6,6,5,6
223,677d856e8640497613a5ec07,519172,2,sona,3,2,3,3
224,677d856e8640497613a5ec15,543942,1,sona,10,7,5,7
225,677d856e8640497613a5ec10,142985,1,sona,10,9,9,9
